ZipCode,TaxRegionName,EstimatedCombinedRate
91003,LOS ANGELES COUNTY,0.095
91006,ARCADIA,0.1025
91007,ARCADIA,0.1025
91008,BRADBURY,0.095
91009,DUARTE,0.1025
91010,DUARTE,0.1025
91011,LA CANADA FLINTRIDGE,0.095
91012,LA CANADA FLINTRIDGE,0.095
91016,MONROVIA,0.1025
91017,MONROVIA,0.1025
91020,LOS ANGELES COUNTY,0.095
91021,LOS ANGELES COUNTY,0.095
91023,LOS ANGELES COUNTY,0.095
91024,SIERRA MADRE,0.1025
91025,SIERRA MADRE,0.1025
91030,SOUTH PASADENA,0.1025
91031,SOUTH PASADENA,0.1025
91040,LOS ANGELES,0.095
91041,LOS ANGELES,0.095
91042,LOS ANGELES,0.095
91043,LOS ANGELES,0.095
91046,GLENDALE,0.1025
91066,ARCADIA,0.1025
91077,ARCADIA,0.1025
91101,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91102,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91103,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91104,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91105,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91106,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91107,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91108,SAN MARINO,0.095
91109,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91114,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91115,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91116,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91117,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91118,SAN MARINO,0.095
91121,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91123,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91124,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91125,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91126,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91129,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91182,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91184,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91185,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91188,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91189,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91199,PASADENA TOURISM BUSINESS IMPROVEMENT DISTRICT,0.1025
91201,GLENDALE,0.1025
91202,GLENDALE,0.1025
91203,GLENDALE,0.1025
91204,GLENDALE,0.1025
91205,GLENDALE,0.1025
91206,GLENDALE,0.1025
91207,GLENDALE,0.1025
91208,GLENDALE,0.1025
91209,GLENDALE,0.1025
91210,GLENDALE,0.1025
91214,GLENDALE,0.1025
91221,GLENDALE,0.1025
91222,GLENDALE,0.1025
91224,GLENDALE,0.1025
91225,GLENDALE,0.1025
91226,GLENDALE,0.1025
91301,AGOURA HILLS,0.095
91302,CALABASAS,0.095
91303,LOS ANGELES,0.095
91304,LOS ANGELES,0.095
91305,LOS ANGELES,0.095
91306,LOS ANGELES,0.095
91307,LOS ANGELES,0.095
91308,LOS ANGELES,0.095
91309,LOS ANGELES,0.095
91310,LOS ANGELES COUNTY,0.095
91311,LOS ANGELES,0.095
91313,LOS ANGELES,0.095
91316,LOS ANGELES,0.095
91319,THOUSAND OAKS,0.0725
91320,THOUSAND OAKS,0.0725
91321,SANTA CLARITA TOURISM MARKETING DISTRICT,0.095
91322,SANTA CLARITA TOURISM MARKETING DISTRICT,0.095
91324,LOS ANGELES,0.095
91325,LOS ANGELES,0.095
91326,LOS ANGELES,0.095
91327,LOS ANGELES,0.095
91328,LOS ANGELES,0.095
91329,LOS ANGELES,0.095
91330,LOS ANGELES,0.095
91331,LOS ANGELES,0.095
91333,LOS ANGELES,0.095
91334,LOS ANGELES,0.095
91335,LOS ANGELES,0.095
91337,LOS ANGELES,0.095
91340,SAN FERNANDO,0.1025
91341,SAN FERNANDO,0.1025
91342,LOS ANGELES,0.095
91343,LOS ANGELES,0.095
91344,LOS ANGELES,0.095
91345,LOS ANGELES,0.095
91346,LOS ANGELES,0.095
91350,SANTA CLARITA TOURISM MARKETING DISTRICT,0.095
91351,SANTA CLARITA TOURISM MARKETING DISTRICT,0.095
91352,LOS ANGELES,0.095
91353,LOS ANGELES,0.095
91354,SANTA CLARITA TOURISM MARKETING DISTRICT,0.095
91355,SANTA CLARITA TOURISM MARKETING DISTRICT,0.095
91356,LOS ANGELES,0.095
91357,LOS ANGELES,0.095
91358,THOUSAND OAKS,0.0725
91359,THOUSAND OAKS,0.0725
91360,THOUSAND OAKS,0.0725
91361,THOUSAND OAKS,0.0725
91362,THOUSAND OAKS,0.0725
91364,LOS ANGELES,0.095
91365,LOS ANGELES,0.095
91367,LOS ANGELES,0.095
91371,LOS ANGELES,0.095
91372,CALABASAS,0.095
91376,AGOURA HILLS,0.095
91377,VENTURA CO LOCAL TAX SL,0.0725
91380,SANTA CLARITA TOURISM MARKETING DISTRICT,0.095
91381,LOS ANGELES COUNTY,0.095
91382,SANTA CLARITA TOURISM MARKETING DISTRICT,0.095
91383,SANTA CLARITA TOURISM MARKETING DISTRICT,0.095
91384,LOS ANGELES COUNTY,0.095
91385,SANTA CLARITA TOURISM MARKETING DISTRICT,0.095
91386,SANTA CLARITA TOURISM MARKETING DISTRICT,0.095
91387,SANTA CLARITA TOURISM MARKETING DISTRICT,0.095
91390,LOS ANGELES COUNTY,0.095
91392,LOS ANGELES,0.095
91393,LOS ANGELES,0.095
91394,LOS ANGELES,0.095
91395,LOS ANGELES,0.095
91396,LOS ANGELES,0.095
91401,LOS ANGELES,0.095
91402,LOS ANGELES,0.095
91403,LOS ANGELES,0.095
91404,LOS ANGELES,0.095
91405,LOS ANGELES,0.095
91406,LOS ANGELES,0.095
91407,LOS ANGELES,0.095
91408,LOS ANGELES,0.095
91409,LOS ANGELES,0.095
91411,LOS ANGELES,0.095
91412,LOS ANGELES,0.095
91413,LOS ANGELES,0.095
91416,LOS ANGELES,0.095
91423,LOS ANGELES,0.095
